קטגוריה,ניסוח Lemonade לבעל הדירה,טיפ UX,סוג שדה
עליך (בעל הדירה),בוא נתחיל בשמך – איך נכתוב אותך בתור בעל הבית? 🙂,כמו בתעודת זהות – שם פרטי + שם משפחה,text
עליך (בעל הדירה),ואיך אפשר לפנות אליך אם נצטרך?,מספר טלפון שיש לך עליו וואטסאפ 📱,phone
אחר,ולמקרה שנצטרך – איפה אתה גר ביומיום?,רק לצורך ניסוח החוזה. לא נשתמש בזה מעבר,address
על הדירה,איפה נמצא הנכס שאתה משכיר?,"עיר, רחוב, מספר, דירה – כמה שיותר מדויק 🏠",address
על הדירה,יש חניה ששייכת לדירה?,אם כן – נכניס אותה לחוזה,"single_select: ['כן', 'לא']"
על הדירה,יש גם מחסן שמגיע עם הדירה?,"לא חובה, אבל שווה לציין אם יש","single_select: ['כן', 'לא']"
על הדירה,באיזו קומה הדירה שלך נמצאת?,"אם זה בניין, באיזו קומה היא? אפשר גם 'קרקע'",number
על הדירה,יש מעלית בבניין?,כדי שהשוכרים לא יופתעו...,"single_select: ['כן', 'לא']"
על הדירה,השארת בדירה משהו שתרצה לציין? נגיד רהיטים או מכשירים?,"למשל: מיטה זוגית, ארון, מקרר...",long_text
על השוכרים,מי השוכר שאתה סוגר איתו את החוזה?,שם מלא של כל שוכר,"repeating_group: name, id, phone"
אחר,יש מישהו אחר שמשלם בשבילו?,למשל הורה או גוף תומך,"single_select: ['כן', 'לא']"
על הדירה,מתי השוכר שלך נכנס לגור בדירה?,תאריך התחלה של השכירות,date
על השכירות,לכמה זמן אתם סוגרים את החוזה?,רוב החוזים הם לשנה – אבל זה לגמרי תלוי בך,number
על הדירה,כמה שכר דירה אתה גובה כל חודש?,כמה ייכנס לך לחשבון כל חודש 💸,currency
על השכירות,באיזה תאריך בכל חודש תרצה לקבל את התשלום?,למשל: בכל 1 לחודש,date_day_only
על השכירות,מה הדרך הכי נוחה לך לקבל את התשלום?,מה שהכי נוח לך,"single_select: ['העברה בנקאית', 'שיקים', 'אחר']"
על השכירות,רוצה להשאיר אופציה להארכת חוזה?,כדי לאפשר לשוכר להמשיך בלי חוזה חדש,"single_select: ['כן', 'לא']"
אחר,מה משאיר אותך רגוע?,בחר את הבטחונות שתרצה לקבל,"multi_select: ['צ׳ק ביטחון', 'שטר חוב', 'ערבות בנקאית', 'ערב']"
אחר,"רשום כמה כל בטחון שווה – לדוגמה: 10,000 ש״ח לצ׳ק ביטחון","לדוגמה: 10,000 ש״ח לצ׳ק ביטחון",long_text
על השכירות,יש לך דרישה לערב בחוזה?,אם כן – נבקש את פרטיו,"single_select: ['כן', 'לא']"
בטחונות ואחריות,"תן לנו את הפרטים של הערב – שם, טלפון, תעודת זהות וכתובת","שם, טלפון, כתובת, תעודת זהות","group: name, phone, id, address"
על השוכרים,אם השוכר מתעכב בפינוי – כמה זה עולה?,פיצוי יומי – לפי שיקולך,currency
על הדירה,מאפשר להכניס בעלי חיים לדירה?,שיהיה ברור לכולם מראש 🐶,"single_select: ['כן', 'לא']"
על השכירות,צפוי שיפוץ או תמ״א בזמן השכירות?,כדי למנוע הפתעות – עדיף להכניס לחוזה,"single_select: ['כן', 'לא']"
על השכירות,יש משהו מיוחד שתרצה שנכניס לחוזה?,כל דבר שתרצה להבהיר מראש – זו ההזדמנות,long_text
חתימה ושליחה,בא לך לחתום דיגיטלית במקום להתעסק עם ניירת?,"בלי להדפיס, בלי לסרוק, בלי כאב ראש","single_select: ['כן', 'לא']"
על הדירה,מה מספר הדירה (אם יש)?,אם יש תת־מספר או דירה פנימית – חשוב לציין,text
על הדירה,יש מישהו נוסף ששותף איתך בבעלות על הדירה?,אם כן – נוסיף אותם גם,"single_select: ['כן', 'לא']"
על השוכרים,כמה דיירים אתה הולך להכניס לחוזה?,אפשר שוכר אחד או כמה – תלוי במצב,number
על השוכרים,מה הכתובת הנוכחית של הדייר שלך?,"כתובת נוכחית של השוכר, לצרכי החוזה בלבד",address
על השוכרים,איך השוכר יעביר את התשלום?,"למשל: צ׳קים, העברה בנקאית, פיקדון",text
על השכירות,מתי אתה מצפה לקבל את התשלום הראשון?,מתי יועבר התשלום הראשון בפועל,date
על הדירה,יש תוספות לשכר הדירה בהארכה?,אם יש אופציה – תוכל לציין סכום חדש,currency
על השוכרים,תרצה שהשוכר יעביר את כל החשבונות על שמו?,כדי לוודא שכל התשלומים ירדו ממנו,"single_select: ['כן', 'לא']"
בטחונות ואחריות,אם יש ערב – איזה סוג אתה מעדיף?,"למשל: ערבות אוואל, ערבות רגילה","single_select: ['ערבות רגילה', 'ערבות אוואל']"
בטחונות ואחריות,ערבות אוואל זה כמו התחייבות מלאה – נכניס הסבר למי שצריך,מידע כללי שנכניס בהסבר – לא חובה,info
על הדירה,רוצה שנכניס סעיף על ביטוח למקרה של נזק בדירה?,במקרים של נזק לדירה או לתכולה,"single_select: ['כן', 'לא']"
אחר,יש כללים שאתה רוצה להבהיר מראש?,"למשל: לא לעשן, לא לארח, לא להכניס בעלי חיים",long_text
על הדירה,השארת ריהוט? אפשר לצרף נספח של מה בדיוק יש,אם השארת ריהוט – עדיף לפרט,file_upload
על הדירה,רוצה לצרף תמונות של מצב הדירה לפני התחלה?,אפשרות להוסיף נספח ויזואלי,file_upload
על השכירות,איך תרצה לקבל את החוזה לחתימה?,PDF למייל? חתימה דיגיטלית? שליחה לשוכר?,"multi_select: ['שלח לי PDF', 'חתימה דיגיטלית', 'שליחה לשוכר']"
על השכירות,איך לשלוח לך את החוזה כשהוא מוכן?,"מייל, וואטסאפ, או שניהם","single_select: ['מייל', 'וואטסאפ', 'שניהם']"
אחר,יש משהו נוסף שחשוב לך להוסיף לפני שנסיים?,כל דבר נוסף שאתה רוצה שייכנס למסמך,long_text
